,apps,assists,fouls_commited,fouls_suffered,goals,minutes,offsides,own_goals,penalties_in,penalties_mi,red_cards,yellow_cards
Alexander Frei,7,0,11,11,0,630,12,0,0,0,0,0
Alexander Laas,1,0,3,2,0,90,0,0,0,0,0,0
Alexander Madlung,2,0,3,0,0,180,0,0,0,0,0,0
Alexander Manninger,2,0,0,0,0,180,0,0,0,0,0,0
Alexander Tettey,3,0,6,1,0,270,0,0,0,0,0,0
Alexandre Alphonse,3,0,9,2,0,270,5,0,0,0,0,0
Alexandre Lacazette,1,0,2,2,0,90,1,0,0,0,0,0
Alexandros Tziolis,1,0,1,4,0,90,0,0,0,0,0,0
Alexandros Tzorvas,4,0,0,0,0,360,0,0,0,0,0,0
Alexandru Bourceanu,3,0,4,2,0,270,0,0,0,0,0,0
Alexandru Chipciu,1,0,0,0,0,90,0,0,0,0,0,0
Alexis Sánchez,9,2,11,23,0,810,4,0,0,0,0,0
Aleš Mertelj,3,0,2,4,0,270,0,0,0,0,0,0
Ali Osman,1,0,10,6,0,90,0,0,0,0,0,0
Ali Tandoğan,4,0,3,2,0,360,2,0,0,0,0,0
Allan McGregor,9,0,0,0,0,810,0,0,0,0,0,0
Almami Moreira,2,0,0,8,0,180,1,0,0,0,0,0
Alou Diarra,15,0,37,15,0,1350,0,0,0,0,0,0
Altin Haxhi,1,0,0,2,0,90,0,0,0,0,0,0
Aly Cissokho,17,0,25,10,0,1530,0,0,0,0,0,0
Amauri,3,1,3,8,0,270,4,0,0,0,0,0
Anatoliy Tymoshchuk,12,0,21,11,0,1080,0,0,0,0,0,0
Ander Iturraspe,2,0,1,4,0,180,0,0,0,0,0,0
Anders Due,1,0,3,3,0,90,0,0,0,0,0,0
Anderson,20,2,31,27,0,1800,4,0,0,0,0,0
Anderson Polga,10,0,7,9,0,900,1,0,0,0,0,0
Andoni Iraola,1,0,1,1,0,90,0,0,0,0,0,0
Andrea Barzagli,10,0,7,7,0,900,0,0,0,0,0,0
Andrea Dossena,3,1,6,3,0,270,2,0,0,0,0,0
Andrea Pirlo,30,8,40,35,0,2700,0,0,0,0,0,0
Andrea Poli,2,0,2,2,0,180,0,0,0,0,0,0
Andrea Raggi,4,0,2,4,0,360,1,0,0,0,0,0
